PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
210.94,34,28787,
18.39,4,455,
0.00,9,182,
0.00,31,92,
0.00,9,409,
0.00,17,92,
43.93,100,183,
200.34,16,28803,
9.54,1,731,
199.00,27,28770,
0.00,35,28798,
58.41,1,187,
0.00,30,92,
0.00,35,183,
0.00,14,369,
119.00,5,369,
0.00,8,92,
0.00,58,366,
48.68,32,366,
0.00,33,91,
39.60,40,97,
77.94,8,182,
15.25,19,731,
0.00,2,181,
0.00,19,457,
0.00,13,28788,
35.97,1,92,
22.83,30,184,
120.33,46,28767,
0.00,8,365,
41.93,1,91,
0.00,66,91,
0.00,58,183,
0.00,6,365,
89.00,5,366,
0.00,15,365,
65.94,78,184,
0.00,4,547,
0.00,43,92,
195.22,1,28772,
0.00,11,200,
0.00,16,92,
0.00,7,180,
0.00,18,354,
0.00,18,365,
0.00,22,331,
0.00,22,331,
0.00,2,368,
0.00,10,369,
0.00,20,145,
0.00,10,188,
65.94,37,366,
79.00,4,365,
0.00,17,365,
35.97,53,94,
0.00,15,366,
79.00,39,457,
65.94,1,366,
27.12,40,153,
0.00,27,28767,
0.00,8,183,
65.94,1,184,
0.00,1,368,
0.00,1,368,
244.77,11,28766,
38.24,22,92,
0.00,1,289,
143.76,8,730,
0.00,52,365,
0.00,18,365,
0.00,1,368,
249.00,20,28782,
0.00,24,317,
0.00,24,365,
0.00,9,344,
0.00,19,731,
0.00,9,181,
0.00,77,366,
0.00,68,28940,
0.00,27,365,
35.97,6,92,
0.00,14,183,
0.00,1,92,
0.00,36,90,
0.00,9,29181,
0.00,45,182,
0.00,16,274,
0.00,22,302,
0.00,12,29179,
0.00,22,28769,
0.00,7,378,
39.21,1,92,
0.00,10,92,
0.00,6,92,
18.39,15,547,
0.00,41,92,
0.00,1,183,
79.00,6,278,
199.00,37,28839,
37.52,13,97,
0.00,43,182,
0.00,1,368,
41.15,60,94,
0.00,87,91,
0.00,1,182,
10.45,103,731,
0.00,4,365,
119.00,36,185,
112.17,1,366,
0.00,3,273,
0.00,1,182,
0.00,22,137,
0.00,19,91,
0.00,22,28797,
35.97,23,92,
199.00,8,28778,
0.00,44,118,
179.00,7,731,
0.00,23,181,
21.44,9,458,
0.00,13,331,
69.50,3,366,
0.00,29,366,
35.97,6,91,
95.88,4,365,
0.00,9,92,
0.00,179,309,
79.00,34,182,
35.97,27,90,
0.00,9,183,
0.00,15,289,
0.00,10,183,
39.00,8,90,
0.00,20,92,
79.00,4,455,
376.83,20,28775,
0.00,10,288,
0.00,10,33,
211.44,10,28765,
35.97,42,439,
0.00,52,365,
0.00,1,337,
0.00,22,185,
39.60,1,92,
0.00,60,256,
0.00,11,183,
119.00,1,366,
189.00,1,28796,
0.00,31,92,
120.00,15,730,
189.00,38,28795,
0.00,1,639,
35.97,50,182,
0.00,25,91,
119.00,7,183,
42.90,61,94,
64.54,62,183,
301.21,29,730,
0.00,24,91,
0.00,6,368,
0.00,54,91,
0.00,125,182,
39.00,36,95,
42.27,18,122,
67.30,3,259,
189.00,9,28799,
216.66,1,28794,
0.00,63,168,
42.66,1,183,
0.00,14,382,
0.00,16,365,
199.00,27,28781,
62.38,70,367,
0.00,20,365,
0.00,14,396,
65.94,1,184,
0.00,22,29223,
0.00,3,92,
45.94,26,90,
0.00,88,183,
0.00,21,296,
0.00,30,91,
35.97,1,92,
35.97,32,90,
79.00,28,275,
0.00,21,92,
0.00,19,183,
0.00,3,547,
0.00,1,274,
35.97,1,621,
0.00,21,330,
42.88,21,113,
0.00,23,92,
0.00,20,90,
0.00,80,193,
13.91,29,365,
79.00,14,184,
0.00,20,92,
0.00,5,365,
38.22,8,94,
0.00,31,288,
199.00,1,28782,
0.00,62,182,
0.00,13,182,
0.00,25,92,
199.00,16,28804,
38.22,10,91,
79.00,36,187,
19.95,25,69,
0.00,8,457,
0.00,4,386,
216.66,26,28765,
0.00,2,343,
26.80,4,117,
0.00,2,92,
197.08,1,28884,
35.97,34,187,
35.97,1,274,
79.00,7,365,
0.00,6,274,
0.00,11,92,
0.00,5,172,
37.52,29,97,
189.00,1,28799,
35.97,6,182,
119.00,7,547,
0.00,21,330,
0.00,27,295,
0.00,24,182,
189.00,32,28793,
199.00,43,28791,
53.60,23,95,
35.97,14,92,
0.00,25,92,
207.84,60,28941,
0.00,1,365,
35.97,49,90,
35.97,23,297,
189.00,36,28788,
0.00,16,182,
79.00,21,187,
13.91,13,366,
0.00,22,365,
35.97,8,92,
0.00,36,204,
13.91,4,365,
45.94,28,94,
41.57,15,95,
35.97,33,401,
212.93,18,28769,
0.00,22,289,
42.12,21,95,
86.64,1,184,
0.00,28,182,
0.00,26,366,
0.00,33,92,
35.97,16,92,
0.00,54,92,
189.00,10,28854,
0.00,5,365,
0.00,29,364,
199.00,2,28765,
0.00,2,92,
42.27,22,103,
0.00,25,306,
0.00,8,91,
35.97,7,105,
199.00,19,28773,
0.00,68,365,
0.00,57,28799,
0.00,51,456,
128.97,5,186,
0.00,11,365,
0.00,1,92,
71.63,29,366,
0.00,39,181,
199.00,12,28776,
39.00,53,186,
119.00,18,547,
0.00,1,92,
0.00,19,91,
0.00,31,92,
0.00,8,93,
0.00,69,90,
79.00,1,273,
49.15,19,206,
0.00,36,92,
35.97,8,107,
43.23,5,260,
0.00,14,91,
79.00,13,183,
119.00,67,365,
0.00,19,316,
0.00,6,91,
0.00,20,365,
0.00,20,183,
0.00,1,368,
119.00,15,366,
0.00,27,182,
22.83,1,365,
0.00,1,368,
65.94,10,366,
0.00,11,272,
42.66,16,90,
79.00,59,216,
0.00,30,289,
119.00,40,369,
0.00,11,92,
0.00,22,109,
15.25,20,395,
0.00,1,365,
0.00,13,92,
0.00,12,92,
0.00,10,183,
0.00,8,365,
35.97,2,92,
65.94,1,366,
68.15,31,184,
0.00,10,183,
0.00,2,365,
0.00,24,182,
0.00,10,366,
97.36,58,369,
0.00,17,92,
151.24,1,371,
19.99,74,97,
189.00,22,28855,
39.00,29,95,
122.08,5,730,
0.00,7,92,
0.00,9,317,
0.00,13,71,
0.00,4,90,
0.00,2,365,
0.00,40,366,
199.00,11,28766,
0.00,9,274,
0.00,13,183,
12.60,15,153,
79.00,35,277,
0.00,3,316,
0.00,37,374,
0.00,10,368,
0.00,15,91,
189.00,5,28780,
199.00,1,28783,
0.00,18,365,
0.00,41,28793,
0.00,27,455,
12.60,11,359,
0.00,73,125,
38.34,23,92,
0.00,14,92,
9.54,17,731,
39.00,16,90,
35.97,47,92,
189.00,8,28799,
41.38,12,95,
35.97,14,92,
39.00,10,95,
0.00,4,184,
26.80,12,92,
0.00,21,371,
0.00,5,134,
0.00,21,351,
0.00,65,288,
0.00,9,183,
0.00,20,365,
0.00,6,357,
43.32,12,96,
0.00,40,310,
37.77,21,95,
69.50,20,184,
79.00,4,366,
0.00,13,92,
0.00,7,368,
199.00,15,28793,
35.97,29,548,
0.00,22,92,
0.00,4,28777,
0.00,26,330,
0.00,22,183,
37.77,12,92,
0.00,6,357,
119.00,13,366,
45.94,16,94,
0.00,11,182,
0.00,25,368,
0.00,28,91,
0.00,1,398,
0.00,28,89,
39.00,44,91,
0.00,83,91,
199.00,32,28797,
199.00,10,28772,
0.00,24,183,
0.00,10,557,
0.00,26,409,
0.00,24,92,
0.00,20,365,
79.00,9,366,
0.00,33,365,
0.00,4,366,
0.00,18,28766,
0.00,11,365,
49.00,1,184,
0.00,13,183,
0.00,30,29151,
200.34,25,28796,
0.00,1,28765,
0.00,7,186,
0.00,4,365,
207.90,77,28793,
0.00,6,366,
0.00,15,92,
0.00,42,316,
0.00,18,61,
0.00,53,316,
199.00,11,28802,
0.00,9,28792,
0.00,6,92,
143.76,27,730,
79.00,21,184,
0.00,28,366,
0.00,24,369,
0.00,6,90,
12.60,1,455,
0.00,37,184,
0.00,19,181,
0.00,22,84,
0.00,13,365,
0.00,5,368,
42.66,33,183,
119.00,22,184,
0.00,69,252,
0.00,24,184,
199.00,7,28798,
0.00,33,91,
0.00,20,166,
0.00,68,187,
0.00,20,323,
26.80,1,92,
201.47,64,28793,
64.54,1,183,
0.00,16,183,
0.00,15,103,
0.00,3,457,
0.00,24,368,
0.00,18,365,
0.00,35,275,
0.00,18,268,
136.88,12,731,
49.15,31,183,
119.00,17,372,
208.95,1,28789,
0.00,52,183,
0.00,17,28768,
0.00,4,92,
0.00,12,365,
93.00,67,28891,
79.00,18,274,
199.00,2,28829,
0.00,4,731,
189.00,16,28879,
0.00,16,90,
0.00,32,182,
0.00,19,365,
189.00,28,28801,
0.00,24,91,
0.00,34,365,
22.83,36,366,
0.00,27,457,
189.00,35,28794,
215.67,20,28779,
0.00,21,28774,
189.00,1,28799,
199.00,29,28775,
0.00,25,184,
0.00,16,366,
0.00,17,365,
0.00,25,92,
0.00,13,28775,
0.00,20,368,
0.00,9,183,
199.00,21,28781,
18.08,6,426,
0.00,16,303,
93.95,9,365,
33.40,39,184,
49.00,40,29050,
0.00,38,368,
199.00,10,28780,
0.00,10,408,
0.00,27,365,
0.00,11,365,
19.95,6,243,
0.00,23,181,
0.00,17,92,
13.65,27,153,
0.00,9,92,
0.00,14,65,
187.78,1,366,
0.00,2,366,
52.93,81,94,
0.00,6,295,
0.00,135,28769,
79.00,18,457,
131.76,15,731,
0.00,34,183,
0.00,6,92,
65.94,14,198,
0.00,17,368,
0.00,30,92,
112.17,9,184,
0.00,15,181,
0.00,20,92,
119.00,29,412,
37.77,53,91,
0.00,1,89,
212.93,10,28767,
0.00,2,439,
0.00,5,181,
79.00,40,274,
42.66,42,149,
38.34,16,90,
162.99,35,29011,
49.40,64,91,
0.00,24,296,
35.97,10,566,
42.29,1,92,
0.00,1,28778,
97.36,26,220,
19.95,1,91,
0.00,31,547,
0.00,21,330,
0.00,12,296,
199.00,9,28779,
119.00,86,550,
65.94,40,187,
62.38,1,92,
0.00,2,369,
0.00,8,366,
9.54,1,731,
37.95,19,93,
35.97,29,456,
0.00,11,185,
201.47,40,28806,
39.00,3,96,
0.00,6,368,
0.00,20,28780,
0.00,34,28794,
0.00,15,459,
0.00,5,368,
35.97,30,366,
0.00,4,368,
0.00,4,368,
199.00,43,28793,
0.00,57,310,
9.37,1,731,
32.16,6,182,
0.00,27,181,
0.00,25,365,
79.00,4,277,
0.00,35,365,
32.16,40,92,
0.00,16,365,
0.00,19,303,
58.41,17,182,
0.00,5,365,
0.00,11,28954,
0.00,14,344,
75.81,16,92,
0.00,8,309,
212.93,1,28782,
175.81,4,730,
0.00,16,181,
0.00,1,181,
0.00,4,92,
217.31,60,28803,
0.00,31,31,
114.09,49,184,
0.00,4,90,
0.00,36,181,
0.00,16,711,
36.33,31,92,
0.00,8,366,
35.97,14,160,
21.01,10,548,
13.65,15,367,
199.00,4,29127,
35.97,34,177,
199.00,1,28771,
0.00,69,95,
0.00,39,183,
0.00,16,365,
199.00,16,28779,
0.00,13,28773,
0.00,37,92,
0.00,11,403,
79.00,12,187,
23.95,19,82,
22.83,13,366,
0.00,7,275,
189.00,28,28804,
0.00,17,175,
79.00,3,277,
30.88,8,92,
48.68,33,422,
199.00,28,28788,
0.00,10,28770,
74.36,14,182,
17.15,1,91,
15.25,68,366,
119.00,8,366,
0.00,7,91,
13.91,9,396,
65.94,19,184,
79.00,17,455,
0.00,10,91,
0.00,24,289,
0.00,9,92,
42.66,1,92,
0.00,7,288,
22.83,1,365,
0.00,4,91,
0.00,36,300,
0.00,41,316,
211.94,15,28778,
0.00,38,365,
119.10,1,182,
0.00,55,92,
30.33,7,92,
79.00,1,184,
0.00,22,92,
199.00,11,28785,
0.00,38,90,
0.00,31,366,
0.00,8,289,
0.00,59,288,
0.00,7,274,
0.00,52,289,
0.00,14,312,
0.00,78,200,
0.00,5,92,
206.48,19,28802,
0.00,22,365,
0.00,8,28778,
0.00,57,182,
0.00,12,366,
39.00,21,91,
0.00,35,365,
0.00,61,29060,
0.00,9,182,
0.00,17,92,
0.00,1,380,
199.00,38,28805,
0.00,24,167,
0.00,27,324,
0.00,24,284,
0.00,28,184,
39.00,14,95,
0.00,7,88,
103.37,34,365,
0.00,24,338,
0.00,25,365,
0.00,30,365,
0.00,14,90,
0.00,16,365,
0.00,14,29065,
0.00,4,368,
0.00,9,183,
199.00,1,28785,
108.30,32,28861,
0.00,1,368,
0.00,9,309,
199.00,16,28774,
0.00,16,368,
41.73,33,187,
0.00,8,369,
0.00,10,368,
65.94,1,366,
150.61,15,730,
42.29,1,120,
0.00,12,565,
39.16,22,90,
119.00,15,366,
0.00,4,90,
35.97,44,127,
119.00,20,366,
75.05,13,92,
0.00,18,101,
0.00,35,92,
0.00,26,546,
38.34,7,92,
152.39,60,1461,
0.00,8,184,
0.00,34,92,
52.93,12,90,
39.50,1,92,
0.00,4,28862,
162.99,31,182,
0.00,4,302,
0.00,5,28770,
0.00,22,295,
199.00,22,28800,
200.39,10,365,
131.27,9,731,
0.00,1,365,
68.15,28,190,
0.00,13,365,
35.97,14,94,
39.00,40,99,
189.00,27,28805,
0.00,1,31,
0.00,31,64,
0.00,14,92,
0.00,12,92,
0.00,53,91,
119.76,45,731,
0.00,7,366,
0.00,1,92,
0.00,89,731,
0.00,14,366,
74.36,34,182,
0.00,3,92,
0.00,26,189,
38.79,20,91,
0.00,4,92,
0.00,7,384,
0.00,7,384,
0.00,22,184,
0.00,12,95,
43.23,8,96,
0.00,4,330,
189.00,25,28797,
0.00,96,91,
49.15,24,183,
19.99,34,31,
0.00,1,365,
0.00,33,92,
0.00,31,344,
0.00,58,181,
79.00,35,547,
212.93,12,28779,
0.00,21,184,
19.99,14,61,
0.00,23,310,
0.00,20,92,
0.00,2,365,
0.00,6,547,
79.00,17,370,
0.00,11,316,
79.00,17,369,
0.00,16,461,
0.00,2,95,
0.00,6,365,
0.00,6,368,
0.00,37,275,
0.00,1,184,
0.00,31,190,
35.97,6,90,
35.97,69,274,
0.00,13,28790,
35.97,6,182,
35.97,5,277,
0.00,1,90,
79.00,11,184,
218.70,17,28781,
0.00,1,181,
218.40,15,28794,
0.00,12,183,
0.00,18,91,
0.00,33,182,
0.00,38,456,
56.08,13,187,
327.08,16,28777,
79.00,27,284,
0.00,21,338,
0.00,4,185,
0.00,38,92,
0.00,1,274,
0.00,42,330,
211.44,15,28789,
0.00,29,366,
0.00,12,365,
19.99,7,459,
35.97,33,96,
121.75,38,365,
0.00,16,351,
0.00,59,336,
0.00,5,368,
17.32,11,396,
39.00,16,187,
35.97,1,183,
100.19,21,368,
0.00,1,90,
0.00,7,370,
0.00,20,92,
8.41,45,455,
0.00,16,289,
0.00,6,29224,
13.65,28,241,
199.00,6,28787,
0.00,3,184,
0.00,22,92,
0.00,1,475,
19.99,21,92,
327.08,3,28765,
0.00,1,182,
45.05,12,188,
35.97,25,92,
39.00,12,95,
199.00,13,28772,
0.00,5,91,
15.25,1,731,
0.00,11,91,
0.00,8,92,
327.08,4,28765,
39.00,17,156,
0.00,12,366,
79.00,39,184,
97.36,19,366,
0.00,19,303,
0.00,17,91,
0.00,10,29238,
0.00,4,182,
212.13,13,28772,
0.00,29,731,
35.97,51,150,
0.00,27,366,
0.00,26,365,
0.00,10,368,
0.00,12,289,
95.88,12,366,
13.65,35,425,
119.00,30,366,
0.00,20,289,
30.88,24,92,
38.34,40,93,
0.00,46,183,
0.00,17,91,
38.94,24,184,
199.00,29,28788,
0.00,2,92,
0.00,19,183,
79.00,3,208,
169.00,14,731,
0.00,71,91,
0.00,8,92,
126.14,32,182,
49.15,26,91,
199.21,17,28841,
0.00,5,89,
89.00,2,731,
0.00,18,184,
0.00,21,28787,
0.00,2,90,
0.00,2,181,
38.13,1,91,
202.70,4,28798,
0.00,14,90,
0.00,6,365,
0.00,55,547,
0.00,28,28766,
0.00,46,28776,
49.40,20,95,
0.00,13,64,
35.97,6,272,
79.00,3,365,
79.00,1,326,
33.99,22,90,
0.00,2,92,
0.00,1,365,
0.00,24,92,
0.00,6,182,
0.00,1,377,
199.00,1,28765,
0.00,1,182,
0.00,7,92,
0.00,38,274,
0.00,5,368,
0.00,29,90,
79.00,14,273,
0.00,7,368,
189.00,36,28787,
0.00,8,274,
0.00,27,295,
0.00,13,92,
35.97,15,99,
79.00,11,183,
0.00,58,182,
0.00,32,368,
199.00,17,28780,
79.00,36,183,
108.30,37,28917,
0.00,21,366,
75.48,18,425,
189.00,36,28855,
0.00,1,368,
0.00,11,183,
200.34,7,28794,
0.00,52,365,
41.48,11,95,
189.00,11,28798,
0.00,25,185,
0.00,6,365,
35.97,21,486,
0.00,16,89,
0.00,1,92,
199.00,2,28767,
39.00,23,95,
0.00,103,28769,
0.00,1,324,
0.00,3,183,
0.00,25,369,
0.00,19,368,
15.12,27,731,
35.97,18,92,
0.00,21,284,
35.97,33,91,
35.97,55,183,
0.00,24,92,
0.00,22,392,
0.00,19,365,
0.00,42,365,
0.00,28,1096,
39.00,11,95,
0.00,15,183,
79.00,22,273,
0.00,40,368,
0.00,28,365,
0.00,12,92,
0.00,24,91,
15.25,11,366,
0.00,27,178,
0.00,1,181,
215.02,8,28782,
48.68,26,193,
119.00,21,365,
79.00,1,276,
38.40,1,92,
0.00,11,92,
212.13,15,28790,
0.00,7,121,
38.13,9,92,
0.00,30,29084,
79.00,10,94,
0.00,27,295,
10.45,17,731,
35.97,17,91,
0.00,42,371,
0.00,93,370,
0.00,47,91,
0.00,47,368,
0.00,4,181,
0.00,13,365,
35.97,13,184,
0.00,6,120,
199.00,4,28792,
0.00,51,1461,
13.65,52,335,
15.25,1,731,
25.19,30,274,
35.97,29,97,
0.00,35,181,
0.00,10,184,
0.00,1,181,
49.15,18,92,
0.00,1,369,
0.00,41,214,
58.41,12,182,
0.00,4,59,
189.00,30,28804,
0.00,37,366,
0.00,12,365,
0.00,19,92,
0.00,19,28768,
38.40,1,92,
79.00,28,183,
22.83,18,184,
17.15,22,91,
0.00,8,28779,
0.00,10,366,
0.00,7,547,
0.00,21,365,
10.45,41,731,
42.66,1,183,
119.00,21,365,
0.00,57,182,
0.00,33,29203,
0.00,4,365,
0.00,6,289,
35.97,79,92,
54.15,11,92,
0.00,5,95,
179.00,15,28885,
35.97,15,183,
0.00,20,365,
9.46,44,731,
0.00,49,182,
0.00,1,366,
0.00,10,182,
0.00,28,357,
216.66,1,28783,
61.75,16,377,
0.00,106,548,
37.52,9,92,
210.94,17,28790,
0.00,35,366,
189.00,16,28805,
0.00,12,137,
198.45,6,28797,
0.00,13,91,
0.00,31,183,
35.97,1,91,
140.46,34,731,
150.61,14,733,
18.39,15,486,
0.00,18,92,
0.00,7,92,
0.00,26,228,
41.44,43,95,
124.50,23,879,
0.00,41,397,
0.00,20,275,
0.00,47,366,
0.00,8,350,
0.00,1,365,
0.00,11,368,
30.88,14,92,
0.00,28,182,
189.00,22,28795,
0.00,4,28768,
99.56,7,183,
0.00,7,365,
0.00,2,366,
58.41,15,183,
217.69,14,236,
12.60,12,396,
0.00,7,368,
0.00,50,183,
0.00,5,92,
0.00,14,368,
0.00,22,365,
0.00,7,365,
0.00,2,90,
0.00,12,368,
0.00,46,282,
69.00,15,244,
0.00,34,92,
70.65,43,186,
0.00,9,92,
0.00,10,358,
0.00,19,337,
71.22,12,184,
0.00,44,628,
35.97,12,95,
193.43,40,29227,
35.97,1,182,
0.00,15,181,
0.00,10,203,
0.00,3,368,
0.00,1,92,
0.00,1,365,
0.00,34,366,
0.00,12,365,
0.00,4,92,
199.00,2,28787,
0.00,1,368,
41.34,14,92,
0.00,21,458,
10.45,27,731,
0.00,55,547,
0.00,6,457,
0.00,2,98,
38.54,7,91,
0.00,53,90,
201.10,27,28794,
0.00,29,181,
119.00,1,366,
0.00,33,186,
53.60,10,185,
199.00,1,28791,
0.00,11,365,
0.00,17,90,
0.00,14,92,
0.00,12,28792,
0.00,4,274,
0.00,49,92,
0.00,32,366,
103.55,13,365,
0.00,6,368,
0.00,38,95,
0.00,18,368,
189.00,13,28803,
0.00,21,368,
32.37,22,103,
0.00,1,92,
0.00,18,610,
0.00,42,366,
0.00,19,92,
13.65,1,150,
0.00,83,91,
0.00,35,29301,
0.00,30,309,
0.00,9,28766,
0.00,3,282,
70.56,43,183,
0.00,42,366,
0.00,1,372,
143.76,15,730,
0.00,23,28776,
0.00,18,91,
200.39,46,365,
0.00,1,29082,
0.00,50,92,
0.00,1,205,
0.00,18,92,
0.00,23,365,
0.00,4,288,
189.00,5,28766,
189.00,14,28766,
35.97,17,92,
586.67,1,28885,
79.00,31,184,
38.54,4,91,
0.00,8,182,
0.00,4,365,
0.00,44,310,
35.97,19,274,
0.00,23,366,
0.00,28,96,
119.00,2,369,
0.00,16,366,
0.00,24,289,
65.94,29,183,
22.83,13,366,
0.00,33,90,
209.75,7,28765,
215.17,1,28779,
19.99,20,61,
39.00,15,95,
0.00,26,98,
0.00,13,365,
79.00,7,365,
109.00,9,366,
199.00,13,28773,
84.53,25,112,
0.00,1,91,
189.00,14,28805,
214.92,14,28819,
0.00,5,28769,
0.00,15,182,
0.00,19,365,
189.00,51,28772,
0.00,58,91,
39.00,34,94,
22.63,1,366,
0.00,54,313,
0.00,2,181,
0.00,25,368,
0.00,11,91,
0.00,4,92,
0.00,46,368,
0.00,15,90,
79.00,11,291,
210.54,16,28783,
212.93,17,28776,
79.00,9,183,
0.00,1,365,
30.88,15,93,
35.97,18,189,
199.00,22,28782,
0.00,11,92,
119.00,18,548,
0.00,23,61,
0.00,33,366,
0.00,13,369,
132.72,3,731,
0.00,2,182,
0.00,49,92,
0.00,1,368,
54.15,29,90,
189.00,24,28796,
0.00,30,368,
0.00,38,310,
30.88,32,92,
0.00,19,430,
35.97,30,91,
13.91,7,365,
199.00,17,28793,
0.00,17,309,
0.00,46,367,
0.00,3,90,
0.00,1,92,
0.00,23,91,
189.00,5,28794,
208.95,8,28777,
0.00,10,61,
0.00,7,365,
0.00,1,365,
95.88,9,365,
10.45,37,731,
0.00,22,183,
0.00,12,302,
35.97,1,105,
33.40,1,53,
0.00,1,184,
0.00,7,365,
79.00,5,273,
38.58,16,92,
10.45,25,731,
0.00,5,92,
0.00,26,281,
79.00,1,184,
0.00,15,90,
0.00,41,92,
35.97,17,93,
0.00,4,184,
0.00,64,731,
0.00,52,535,
152.39,19,730,
0.00,31,28781,
199.00,10,28787,
0.00,4,365,
0.00,18,61,
156.87,21,731,
130.83,13,918,
199.00,1,28765,
0.00,42,28770,
0.00,51,184,
119.00,4,366,
35.97,21,366,
189.00,23,28805,
35.97,34,102,
0.00,47,282,
79.00,3,183,
0.00,6,295,
0.00,34,365,
0.00,4,368,
0.00,1,92,
211.44,7,28772,
35.97,1,90,
198.45,21,28801,
79.00,11,275,
22.83,8,184,
0.00,12,28773,
0.00,14,366,
199.00,1,28766,
0.00,41,365,
0.00,14,366,
0.00,37,458,
183.78,48,730,
0.00,36,295,
68.00,89,29021,
119.00,23,366,
0.00,6,92,
0.00,38,369,
0.00,11,92,
0.00,78,129,
0.00,41,275,
0.00,9,368,
0.00,21,92,
189.00,22,28797,
119.00,2,547,
0.00,1,212,
0.00,1,358,
0.00,39,28765,
38.85,25,95,
35.97,33,128,
39.50,15,94,
0.00,28,186,
56.08,10,184,
79.00,45,365,
0.00,7,366,
0.00,21,337,
69.50,1,184,
0.00,12,89,
0.00,1,273,
0.00,12,274,
0.00,15,370,
0.00,1,28777,
0.00,20,366,
0.00,6,29105,
0.00,4,89,
35.97,6,469,
49.00,1,28983,
299.00,11,28799,
0.00,16,184,
0.00,16,368,
0.00,3,91,
0.00,14,365,
0.00,6,369,
101.64,40,365,
0.00,27,309,
0.00,8,190,
0.00,35,366,
35.97,15,184,
0.00,18,369,
0.00,4,91,
65.94,17,366,
0.00,3,28770,
0.00,28,95,
0.00,10,365,
17.15,1,92,
0.00,4,374,
0.00,38,28786,
30.88,14,92,
0.00,16,309,
124.50,8,731,
0.00,1,365,
199.00,26,28789,
203.18,14,28853,
0.00,5,365,
0.00,4,547,
0.00,11,185,
35.97,25,237,
0.00,49,92,
0.00,1,365,
0.00,99,522,
0.00,44,283,
35.97,19,548,
79.00,9,303,
79.00,6,277,
0.00,22,92,
0.00,2,365,
0.00,43,97,
0.00,8,183,
139.00,1,731,
0.00,3,89,
0.00,18,375,
65.94,1,184,
79.00,6,211,
0.00,12,296,
199.21,14,28802,
0.00,49,170,
37.52,56,92,
95.88,2,366,
0.00,21,365,
0.00,23,28775,
35.97,19,92,
199.00,6,28799,
22.83,1,365,
0.00,28,196,
79.00,13,273,
0.00,5,181,
0.00,15,182,
0.00,35,92,
199.00,8,28792,
0.00,10,90,
95.88,22,365,
39.53,2,90,
22.45,39,366,
152.39,13,731,
95.39,13,184,
0.00,2,108,
33.12,13,214,
79.00,1,470,
0.00,12,28770,
0.00,44,369,
0.00,35,91,
0.00,27,368,
0.00,5,29061,
79.00,21,186,
0.00,17,185,
0.00,8,100,
0.00,9,95,
179.00,7,28885,
79.00,6,366,
0.00,15,92,
0.00,21,289,
0.00,10,182,
0.00,12,90,
189.00,21,28803,
0.00,16,183,
35.97,22,366,
35.97,14,457,
0.00,5,90,
189.00,10,28796,
119.00,32,366,
0.00,1,182,
10.45,56,731,
0.00,29,296,
199.00,1,28782,
0.00,36,92,
0.00,3,365,
0.00,62,552,
10.45,20,731,
0.00,8,369,
70.13,12,366,
0.00,3,365,
27.12,36,184,
0.00,1,28768,
0.00,27,282,
0.00,29,92,
0.00,35,184,
17.33,1,182,
0.00,40,28767,
39.00,53,187,
13.91,2,426,
199.00,15,28767,
0.00,3,731,
0.00,4,92,
0.00,8,90,
103.37,50,188,
0.00,31,182,
199.00,1,28791,
35.97,25,182,
65.94,43,382,
65.94,50,187,
0.00,2,182,
39.16,5,277,
0.00,15,29026,
0.00,7,183,
35.97,36,297,
179.00,4,28854,
0.00,7,91,
0.00,20,89,
38.34,26,463,
35.97,8,92,
0.00,25,181,
0.00,44,275,
95.88,1,365,
0.00,35,366,
58.41,38,186,
95.88,17,366,
0.00,27,91,
10.45,6,731,
65.94,6,182,
0.00,15,182,
0.00,16,29035,
0.00,4,28770,
0.00,29,458,
39.00,53,95,
208.95,1,28797,
199.00,39,28777,
0.00,1,181,
0.00,4,366,
0.00,10,183,
97.36,32,370,
189.00,23,28805,
0.00,5,324,
79.00,9,187,
0.00,2,182,
0.00,1,28772,
0.00,19,92,
119.00,19,366,
210.94,10,28773,
0.00,40,94,
26.80,34,92,
0.00,13,182,
65.94,49,226,
0.00,14,365,
0.00,1,366,
0.00,30,244,
35.97,6,97,
0.00,27,92,
0.00,6,365,
0.00,1,181,
79.00,12,183,
0.00,12,400,
0.00,10,92,
0.00,11,181,
35.97,36,461,
150.61,4,743,
119.00,6,366,
0.00,9,369,
0.00,13,365,
79.00,42,91,
0.00,11,29243,
95.88,1,365,
376.83,25,28774,
0.00,1,366,
189.00,9,28804,
0.00,4,912,
0.00,30,29137,
0.00,9,184,
0.00,33,257,
0.00,4,95,
199.00,15,28787,
0.00,6,28779,
35.97,32,92,
0.00,20,28772,
0.00,21,337,
0.00,7,92,
0.00,46,92,
13.65,8,427,
0.00,41,183,
35.97,16,93,
0.00,2,365,
71.94,12,182,
0.00,27,309,
35.97,9,91,
38.49,45,93,
0.00,10,365,
54.15,29,92,
0.00,7,92,
35.97,11,92,
0.00,3,92,
189.00,2,28805,
0.00,15,182,
68.15,11,186,
39.07,25,91,
95.88,25,365,
0.00,19,28777,
42.88,24,93,
0.00,22,290,
199.00,18,28769,
79.00,5,275,
79.00,24,192,
22.63,14,181,
35.97,20,97,
35.97,10,547,
189.00,21,28795,
10.45,18,731,
0.00,9,345,
0.00,8,92,
70.29,41,182,
0.00,8,182,
0.00,46,368,
0.00,35,274,
0.00,3,181,
0.00,23,184,
0.00,44,92,
0.00,38,92,
