PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
0.00,24,28782,
35.97,14,98,
0.00,70,281,
0.00,138,184,
0.00,55,370,
35.97,152,182,
0.00,22,781,
35.97,54,274,
33.40,591,549,
79.15,1,374,
35.97,15,92,
0.00,31,100,
0.00,21,369,
0.00,1,368,
0.00,222,184,
78.00,382,486,
0.00,90,28902,
0.00,10,357,
188.28,12,28776,
0.00,125,182,
49.00,108,28982,
48.01,17,97,
119.00,26,365,
0.00,29,184,
64.54,71,94,
0.00,31,28787,
0.00,8,379,
42.27,18,187,
0.00,44,188,
39.00,57,98,
0.00,25,316,
0.00,143,189,
0.00,66,92,
0.00,297,369,
0.00,622,78,
199.00,17,28776,
51.46,238,184,
0.00,24,310,
65.94,86,366,
0.00,330,311,
0.00,57,193,
37.05,24,92,
0.00,22,324,
72.60,21,366,
0.00,35,547,
0.00,61,731,
39.00,14,95,
0.00,101,181,
35.97,29,90,
0.00,375,217,
95.88,38,365,
0.00,37,369,
0.00,18,365,
0.00,125,29105,
26.80,320,92,
104.39,52,365,
0.00,55,181,
0.00,105,102,
0.00,29,182,
179.00,63,28884,
0.00,28,366,
95.88,12,365,
0.00,9,1096,
0.00,261,330,
39.00,87,305,
0.00,53,392,
0.00,65,366,
0.00,51,198,
0.00,94,282,
0.00,5,366,
38.22,133,90,
37.52,23,92,
199.00,91,28805,
0.00,41,89,
204.12,1,28854,
0.00,93,302,
0.00,15,310,
0.00,3,90,
79.00,14,183,
0.00,80,365,
0.00,208,184,
212.13,201,28779,
0.00,1,394,
0.00,1,394,
126.44,68,186,
212.93,223,28791,
0.00,33,91,
0.00,20,28834,
0.00,92,122,
0.00,59,366,
45.94,110,90,
0.00,12,261,
79.00,9,278,
0.00,151,263,
42.66,57,92,
0.00,13,92,
35.97,134,90,
218.90,103,28775,
0.00,69,307,
0.00,55,288,
0.00,99,28969,
0.00,49,310,
0.00,295,186,
13.91,19,371,
0.00,68,90,
0.00,55,90,
201.76,16,28789,
65.94,15,366,
10.45,223,731,
0.00,157,91,
0.00,96,92,
189.84,71,28788,
9.54,52,839,
0.00,451,369,
0.00,170,28776,
0.00,68,184,
0.00,122,187,
0.00,69,365,
0.00,269,366,
49.40,154,92,
0.00,11,29218,
0.00,157,182,
124.77,146,28893,
199.00,24,28778,
0.00,88,619,
58.41,203,189,
0.00,38,92,
0.00,516,29211,
205.30,79,28849,
0.00,102,365,
0.00,47,182,
0.00,206,95,
52.55,26,182,
0.00,176,291,
0.00,38,182,
0.00,58,365,
0.00,266,323,
0.00,678,359,
0.00,46,302,
0.00,198,370,
99.00,64,731,
0.00,75,29153,
0.00,69,365,
35.97,131,91,
0.00,56,613,
31.51,99,91,
17.50,28,306,
0.00,79,92,
79.00,14,183,
0.00,219,100,
8.41,12,547,
79.00,69,275,
26.80,78,97,
35.97,101,214,
0.00,95,92,
199.00,122,28787,
0.00,80,358,
0.00,20,366,
35.97,100,91,
0.00,164,207,
39.00,6,95,
0.00,21,368,
65.94,9,366,
189.00,23,28801,
39.00,41,95,
0.00,60,403,
0.00,80,181,
199.00,255,28798,
0.00,12,369,
207.84,303,28765,
114.09,58,372,
39.16,227,97,
0.00,50,108,
79.00,45,186,
35.97,248,277,
0.00,30,90,
131.27,49,734,
35.97,3,288,
0.00,29,316,
0.00,472,547,
0.00,11,89,
0.00,83,92,
0.00,12,92,
0.00,296,28769,
0.00,461,182,
0.00,115,328,
189.00,92,28806,
71.22,361,366,
0.00,134,366,
119.00,1,366,
79.00,159,366,
15.25,218,731,
0.00,20,369,
35.97,22,221,
0.00,411,278,
0.00,404,210,
0.00,47,365,
0.00,8,344,
81.81,357,366,
0.00,24,28770,
189.00,44,28803,
0.00,33,184,
0.00,20,182,
22.83,515,368,
0.00,4,92,
79.00,1,184,
187.78,860,29011,
39.00,108,185,
0.00,44,92,
0.00,130,366,
0.00,1,184,
0.00,83,547,
0.00,243,288,
0.00,41,180,
212.13,357,28773,
216.66,19,28777,
79.00,10,187,
0.00,70,28776,
0.00,28,92,
0.00,74,557,
0.00,56,365,
0.00,77,369,
0.00,21,366,
46.80,37,174,
0.00,17,365,
65.94,79,182,
35.97,116,274,
0.00,21,97,
79.00,323,273,
19.95,357,306,
0.00,128,91,
0.00,23,92,
65.94,69,182,
0.00,261,366,
0.00,21,101,
0.00,530,365,
0.00,1084,28777,
0.00,120,92,
199.00,1,28772,
189.00,46,28796,
0.00,2,181,
0.00,46,193,
0.00,16,289,
0.00,132,365,
0.00,44,338,
0.00,180,275,
0.00,18,92,
0.00,41,100,
0.00,1,365,
189.00,45,28799,
65.94,103,189,
0.00,26,92,
0.00,9,250,
13.65,49,124,
0.00,35,182,
45.94,18,95,
45.94,18,95,
0.00,64,274,
104.39,20,365,
0.00,18,95,
0.00,15,289,
0.00,92,28792,
199.00,16,28779,
0.00,4,89,
0.00,4,29224,
0.00,17,29186,
0.00,161,184,
251.43,139,731,
0.00,138,183,
0.00,101,357,
378.00,36,28856,
0.00,75,224,
0.00,42,183,
0.00,98,90,
189.00,35,28802,
0.00,126,29115,
0.00,61,366,
208.38,141,28803,
189.00,100,28802,
0.00,30,92,
0.00,138,289,
0.00,54,92,
0.00,4,90,
158.00,338,28813,
41.63,87,91,
0.00,91,199,
0.00,94,183,
41.24,24,92,
0.00,61,369,
78.76,104,182,
0.00,13,181,
0.00,30,186,
0.00,170,183,
42.66,26,103,
0.00,191,303,
51.94,75,139,
200.34,465,28841,
38.49,148,91,
0.00,16,184,
0.00,163,28776,
45.05,187,190,
124.77,164,28891,
86.42,38,366,
0.00,33,90,
69.57,18,365,
0.00,8,90,
0.00,5,92,
0.00,95,335,
0.00,230,102,
0.00,391,340,
0.00,56,92,
0.00,48,184,
35.97,10,92,
0.00,18,323,
0.00,203,90,
0.00,172,556,
179.00,49,366,
0.00,371,96,
15.12,163,731,
65.94,456,299,
0.00,95,366,
53.60,261,186,
0.00,39,365,
79.00,36,186,
0.00,13,274,
0.00,123,91,
0.00,347,366,
0.00,158,370,
0.00,82,515,
0.00,47,365,
35.97,18,92,
74.36,11,91,
0.00,48,92,
199.00,34,28781,
79.00,138,456,
35.97,67,182,
0.00,108,428,
0.00,54,365,
0.00,29,365,
0.00,24,184,
0.00,23,365,
199.00,36,28778,
0.00,38,92,
0.00,8,92,
0.00,12,288,
211.44,10,28773,
0.00,86,183,
0.00,61,332,
35.97,8,277,
0.00,53,90,
43.32,56,97,
95.88,29,365,
67.30,49,183,
35.97,43,90,
0.00,9,365,
35.97,22,95,
0.00,35,28779,
0.00,78,274,
0.00,118,182,
39.00,114,124,
0.00,20,358,
0.00,311,183,
0.00,65,215,
199.00,4,28770,
0.00,33,369,
39.00,52,734,
0.00,26,92,
34.39,33,91,
0.00,38,288,
49.00,100,186,
41.11,21,190,
0.00,111,731,
39.00,63,91,
197.91,12,28806,
214.92,80,28806,
199.00,230,28765,
179.00,104,731,
79.00,37,277,
0.00,79,28782,
38.24,55,92,
189.00,24,28862,
41.57,103,187,
0.00,13,366,
70.06,46,184,
65.94,139,183,
119.00,31,394,
0.00,54,296,
0.00,137,182,
0.00,15,91,
0.00,11,92,
0.00,71,28907,
36.55,65,92,
97.36,158,366,
0.00,149,180,
0.00,67,99,
32.37,202,186,
199.00,46,28768,
0.00,23,90,
0.00,6,92,
66.60,83,403,
53.60,5,92,
327.08,15,28774,
130.83,13,368,
0.00,63,302,
79.00,135,273,
0.00,61,28780,
0.00,142,369,
0.00,23,357,
0.00,28,182,
0.00,6,366,
162.58,208,29186,
58.41,1,182,
0.00,148,46,
0.00,308,275,
0.00,202,365,
0.00,184,369,
0.00,71,92,
0.00,261,731,
199.00,37,28775,
0.00,160,457,
0.00,111,326,
0.00,150,365,
42.66,240,183,
0.00,176,91,
0.00,157,28788,
0.00,111,457,
189.00,111,28804,
0.00,153,365,
38.13,85,95,
0.00,26,396,
35.97,48,110,
39.00,2,95,
79.00,23,183,
214.92,29,28780,
119.00,33,366,
0.00,16,28782,
49.40,91,92,
0.00,538,364,
0.00,41,28789,
0.00,235,365,
199.00,8,28804,
0.00,10,90,
0.00,112,368,
0.00,686,274,
33.12,173,214,
0.00,101,187,
0.00,50,364,
35.97,114,93,
199.00,19,28772,
0.00,212,366,
0.00,150,28777,
199.00,16,28777,
79.00,47,275,
0.00,45,139,
0.00,116,369,
65.94,58,183,
202.23,42,28794,
0.00,158,28769,
0.00,8,184,
15.25,187,731,
216.11,1,28779,
0.00,51,132,
13.65,13,184,
0.00,3,90,
35.97,40,92,
0.00,79,276,
189.00,58,28797,
0.00,100,183,
27.12,64,122,
50.97,116,187,
35.97,9,369,
0.00,12,92,
199.00,159,28820,
199.00,159,28820,
0.00,18,337,
0.00,23,92,
17.15,37,92,
202.70,47,28786,
0.00,19,92,
0.00,320,186,
199.00,159,28824,
0.00,23,183,
0.00,46,185,
61.75,8,92,
0.00,199,28774,
0.00,65,199,
0.00,86,215,
143.76,91,1113,
35.97,130,277,
65.94,96,184,
0.00,136,29084,
37.91,153,102,
0.00,53,366,
0.00,118,365,
0.00,10,364,
0.00,37,365,
13.91,10,365,
49.15,25,105,
242.78,12,28790,
0.00,129,547,
0.00,13,183,
0.00,25,182,
0.00,51,95,
41.44,10,95,
0.00,101,365,
211.64,62,28777,
199.00,49,28800,
0.00,26,28774,
93.48,322,468,
10.45,43,731,
109.00,31,182,
0.00,3,368,
205.54,24,28795,
0.00,339,365,
48.68,35,183,
0.00,360,456,
41.93,100,91,
0.00,292,547,
10.45,109,731,
15.12,62,365,
0.00,578,92,
0.00,108,365,
32.37,21,92,
0.00,54,91,
0.00,249,28779,
0.00,109,196,
0.00,159,279,
211.54,3,28791,
